"","consent1","consent2","consent3","freediscount","paydiscount","fakeemail","likely1","likely2","likely3","likely4","annoyed1","annoyed2","annoyed3","annoyed4","control","reasonable1","reasonable2","reasonable3","reasonable4","reasonable5","reasonable6","reasonable7","reasonable8","reasonable9","comfortable1","comfortable2","comfortable3","comfortable4","comfortable5","comfortable6","comfortable7","comfortable8","comfortable9","ac","comfortable10","gender","age","comments","Condition","annoyed","likely","likelyy","annoyedsum","likelysum","likelysumm","discount","female","female2","discount2"
"4","Yes","Yes","Yes",0,100,7,7,7,7,7,7,7,7,7,1,1,1,7,1,1,1,1,1,1,1,1,7,1,1,1,1,1,7,"Somewhat flexible",0,"Male",60,"","2",7,7,7,28,28,28,100,0,0,100
"5","Yes","Yes","Yes",0,5,5,5,6,5,5,5,6,5,6,5,7,6,5,6,7,6,6,6,6,6,6,5,6,6,5,6,7,7,"Somewhat flexible",5,"Male",30,"","2",5.5,5.25,5.25,22,21,21,5,0,0,5
"6","Yes","Yes","Yes",20,0,7,7,7,7,4,7,7,7,7,1,7,7,4,1,1,4,1,1,1,7,7,4,1,1,4,1,1,1,"Somewhat flexible",0,"Female",28,"","1",7,6.25,6.25,28,25,25,20,1,1,20
"7","Yes","Yes","Yes",200,0,5,6,6,4,5,6,6,4,5,6,4,6,6,5,6,5,7,5,4,6,6,7,4,6,6,5,6,5,"Somewhat flexible",6,"Male",29,"","1",5.25,5.25,5.25,21,21,21,200,0,0,200
"8","Yes","Yes","Yes",0,3,7,7,6,5,6,5,6,6,7,7,7,6,7,6,7,6,5,6,5,6,6,5,7,7,6,5,6,6,"Somewhat flexible",6,"Female",34,"","2",6,6,6,24,24,24,3,1,1,3
"9","Yes","Yes","Yes",0,45,3,6,5,5,4,2,2,4,3,4,4,5,5,2,1,4,3,1,3,2,4,5,2,1,2,1,3,3,"Somewhat flexible",5,"Male",33,"","2",2.75,5,5,11,20,20,45,0,0,45
"10","Yes","Yes","Yes",50,0,7,6,4,7,5,7,6,4,5,6,5,4,5,6,6,5,6,5,7,6,5,5,5,7,4,6,4,6,"Somewhat flexible",7,"Male",18,"","1",5.5,5.5,5.5,22,22,22,50,0,0,50
"11","Yes","Yes","Yes",0,100,1,7,7,7,7,1,1,7,7,1,7,7,7,7,1,7,1,1,7,7,7,7,7,1,7,1,7,7,"Somewhat flexible",7,"Female",34,"","2",4,7,7,16,28,28,100,1,1,100
"12","Yes","Yes","Yes",0,50,5,5,5,5,4,4,5,5,4,5,4,5,5,4,5,4,4,4,5,5,4,5,4,4,4,5,4,5,"Somewhat flexible",5,"Male",29,"","2",4.5,4.75,4.75,18,19,19,50,0,0,50
"13","Yes","Yes","Yes",50,0,2,7,7,5,5,5,5,7,7,1,6,7,7,6,1,7,1,7,7,4,5,7,5,1,4,1,7,7,"Somewhat flexible",4,"Male",47,"","1",6,6,6,24,24,24,50,0,0,50
